,UserID,MovieID,y,Gender,Age,Occupation,Title,Genres,Year
0,1,1545,1,0,0,10,[2683],[1],78
1,2,1442,1,1,6,16,[2603],[1],79
2,2,498,0,1,6,16,"[78, 325]","[1, 5]",75
3,5,860,0,1,2,20,"[1020, 1020, 148, 1007, 1008, 138]",[2],76
4,5,1684,0,1,2,20,"[105, 2772]",[5],79
5,5,1759,1,1,2,20,"[287, 64, 4, 709]",[1],79
6,5,3514,0,1,2,20,"[228, 4224, 90]",[1],82
7,5,896,1,1,2,20,"[102, 2189]",[1],76
8,5,1715,1,1,2,20,"[1198, 178]",[4],79
9,5,321,0,1,2,20,"[1694, 5, 202, 1695, 570, 202]",[1],75
10,5,1509,0,1,2,20,"[46, 312, 33]",[1],79
11,5,1650,0,1,2,20,"[598, 2742]",[1],79
12,5,2029,1,1,2,20,"[956, 198, 2974, 116]","[2, 5]",79
13,5,2607,0,1,2,20,"[110, 673]",[1],80
14,5,2323,1,1,2,20,"[1165, 1]",[13],80
15,5,1529,1,1,2,20,[2670],[1],79
16,5,202,0,1,2,20,"[837, 1594]","[1, 5]",77
17,6,3610,0,0,5,9,[4310],[14],46
18,8,3425,0,1,2,12,"[4155, 359, 173]",[1],72
19,8,510,0,1,2,12,"[1824, 915]",[1],75
20,8,476,0,1,2,12,"[1810, 1]","[2, 1]",76
21,8,269,1,1,2,12,"[13, 165, 18, 561, 1656, 1657]",[1],75
22,9,1669,0,1,2,17,"[707, 2756, 1]",[5],79
23,9,1310,0,1,2,17,[980],[13],78
24,10,1756,1,0,3,1,"[834, 10, 1]",[6],80
25,10,3447,1,0,3,1,"[141, 143, 1]",[1],19
26,10,3309,0,0,3,1,"[4063, 18, 3]",[2],2
27,10,963,1,0,3,1,"[1043, 648, 1]",[14],31
28,10,2874,1,0,3,1,"[1351, 97, 1]",[2],39
29,10,1583,1,0,3,1,"[435, 279, 3]","[10, 17]",79
30,10,116,0,0,3,1,"[1521, 806, 1522]",[13],77
31,10,2045,0,0,3,1,"[402, 222, 711, 3]","[7, 10, 1, 5]",75
32,10,2047,1,0,3,1,"[2992, 2993, 1]",[10],49
33,10,2049,1,0,3,1,"[2994, 2995, 1]","[2, 14]",49
34,11,764,1,0,2,1,[944],"[1, 5]",77
35,11,1887,0,0,2,1,"[1219, 556]","[7, 2]",80
36,11,2766,1,0,2,1,"[88, 2, 3568, 3569, 1]","[2, 1]",80
37,11,1546,1,0,2,1,[2684],[2],78
38,11,2507,0,0,2,1,"[646, 2, 3359]",[2],81
39,11,1563,1,0,2,1,"[115, 19, 1, 2691]",[1],79
40,12,813,0,1,2,12,"[2117, 635, 18]",[2],78
41,12,3658,1,1,2,12,"[1410, 5, 1, 735]","[8, 9]",49
42,13,1331,1,1,4,1,"[2519, 278]",[6],59
43,13,3417,0,1,4,1,"[819, 4150, 1]","[7, 2, 8, 9]",34
44,17,3375,1,1,5,1,"[1394, 137]","[8, 9]",32
45,17,1428,0,1,5,1,"[193, 136]",[1],77
46,17,2663,0,1,5,1,"[24, 424, 16, 739, 1, 83]","[8, 9]",37
47,17,2667,0,1,5,1,"[3483, 181, 1]","[8, 9]",38
48,17,30,1,1,5,1,"[527, 1437, 528, 3, 528, 528, 1438, 1439, 1440]",[1],77
49,17,1601,0,1,5,1,[2712],"[11, 1, 19]",79
50,17,503,0,1,5,1,"[50, 894, 1]",[1],76
51,17,3658,1,1,5,1,"[1410, 5, 1, 735]","[8, 9]",49
52,17,1624,0,1,5,1,"[1178, 2728, 3]",[1],79
53,17,3696,0,1,5,1,"[17, 2, 1, 4376]","[2, 6, 8, 9]",68
54,17,3417,1,1,5,1,"[819, 4150, 1]","[7, 2, 8, 9]",34
55,17,496,0,1,5,1,"[145, 323, 324]","[2, 1, 5]",76
56,18,2573,1,0,1,3,[707],[1],80
57,18,313,1,0,1,3,"[1684, 242, 1]","[16, 10]",76
58,18,291,0,0,1,3,"[306, 569, 10]",[4],77
59,18,2893,0,0,1,3,"[3666, 3667]","[3, 1]",81
60,18,1739,0,0,1,3,"[51, 2806, 93, 449, 8, 2807, 211]","[3, 10]",80
61,19,1756,1,1,0,10,"[834, 10, 1]",[6],80
62,19,2638,1,1,0,10,"[520, 1314, 1]",[6],24
63,19,2646,0,1,0,10,"[34, 2, 154]",[6],27
64,19,2647,0,1,0,10,"[34, 2, 117]",[6],26
65,19,2649,0,1,0,10,"[92, 2, 117]",[6],21
66,19,2653,0,1,0,10,"[92, 2, 154]",[6],25
67,19,2790,0,1,0,10,"[119, 1338, 1, 3, 45, 3, 680, 22, 1, 119, 1338]",[6],63
68,19,3596,1,1,0,10,[4297],[2],82
69,19,1650,0,1,0,10,"[598, 2742]",[1],79
70,19,1655,0,1,0,10,[2745],[6],80
71,19,2103,0,1,0,10,"[3041, 253]","[7, 10]",76
72,21,2800,1,1,1,16,"[26, 3588, 88, 4, 3589]","[16, 10]",74
73,21,3774,0,1,1,16,"[34, 87, 12]",[2],73
74,22,833,0,1,1,15,"[93, 268, 93]",[2],78
75,22,771,1,1,1,15,"[340, 993, 817, 15, 18, 39, 2070]","[2, 1]",69
76,22,2189,1,1,1,15,"[11, 437, 3, 553, 3109]",[16],79
77,23,659,0,1,3,0,"[621, 449]","[11, 4]",42
78,23,3474,0,1,3,0,[4187],"[8, 9, 4]",79
79,23,2419,0,1,3,0,[3297],"[1, 4]",68
80,23,3338,0,1,3,0,"[14, 46, 4083]",[13],71
81,23,3920,0,1,3,0,"[4553, 207, 392, 4, 4554, 4555, 207, 4556]","[1, 17]",75
82,23,1313,0,1,3,0,"[200, 89, 27]",[11],78
83,26,3423,0,1,2,7,"[268, 1086]",[1],70
84,26,217,0,1,2,7,"[1613, 1]","[1, 4]",77
85,26,1880,0,1,2,7,"[2896, 329]",[1],79
86,26,278,0,1,2,7,"[860, 1663]",[2],77
87,26,3056,0,1,2,7,[3809],[4],81
88,26,424,0,1,2,7,"[41, 1776]",[1],76
89,26,38,0,1,2,7,"[24, 379, 40]",[2],77
90,26,1463,0,1,2,7,"[70, 153, 968]","[2, 5]",79
91,26,1703,0,1,2,7,"[14, 2782, 82, 2783]",[2],79
92,26,64,0,1,2,7,"[40, 535, 79, 83]","[2, 5]",78
93,26,609,0,1,2,7,"[943, 328, 10, 56, 4, 1916, 1917]","[7, 10]",78
94,26,463,0,1,2,7,"[1803, 320, 1804]","[11, 1, 4]",75
95,26,467,0,1,2,7,"[309, 1806, 99]",[2],77
96,26,612,0,1,2,7,"[1919, 1]",[2],78
97,26,472,0,1,2,7,"[593, 112, 906]","[2, 1]",76
98,26,118,1,1,2,7,"[535, 1525, 807]","[2, 5]",78
99,26,3331,0,1,2,7,"[13, 4077]",[1],65
100,26,487,0,1,2,7,"[1815, 256]","[2, 18]",76
101,26,499,1,1,2,7,"[78, 413]","[2, 5]",75
102,27,1180,1,1,2,11,"[2405, 13, 663]",[2],73
103,27,528,0,1,2,11,"[1843, 1]",[1],76
104,28,846,1,0,2,1,[2152],[1],77
105,29,2534,0,1,3,7,[3373],[3],60
106,30,1922,0,0,3,7,[718],[1],80
107,30,1545,0,0,3,7,[2683],[1],78
108,30,1657,0,0,3,7,[473],[13],79
109,30,2544,1,0,3,7,"[268, 2, 422, 1, 236, 3385, 28, 15, 3386]",[1],80
